DATE, Dubai Crude
2012-01-01,108.604545454545
2012-02-01,116.67619047619
2012-03-01,122.598636363636
2012-04-01,117.497142857143
2012-05-01,107.650869565217
2012-06-01,94.4380952380953
2012-07-01,99.9645454545455
2012-08-01,108.954782608696
2012-09-01,110.8535
2012-10-01,108.426956521739
2012-11-01,107.105454545455
2012-12-01,106.397619047619
2013-01-01,108.18652173913
2013-02-01,111.1215
2013-03-01,105.704285714286
2013-04-01,101.495
2013-05-01,100.521739130435
2013-06-01,100.3855
2013-07-01,103.828695652174
2013-08-01,107.071363636364
2013-09-01,108.07380952381
2013-10-01,106.866086956522
2013-11-01,106.06
2013-12-01,107.932272727273
2014-01-01,103.767826086957
2014-02-01,105.2585
2014-03-01,104.344285714286
2014-04-01,104.820909090909
2014-05-01,105.534090909091
2014-06-01,108.168095238095
2014-07-01,105.957826086957
2014-08-01,101.608095238095
2014-09-01,96.38
2014-10-01,86.3778260869565
2014-11-01,76.1195
2014-12-01,59.825652173913
2015-01-01,46.4922727272727
2015-02-01,55.92
2015-03-01,54.3168181818182
2015-04-01,58.4336363636364
2015-05-01,63.1780952380953
2015-06-01,61.7972727272727
2015-07-01,55.9873913043478
2015-08-01,47.9809523809524
2015-09-01,45.1913636363636
2015-10-01,45.8595454545455
2015-11-01,41.5971428571429
2015-12-01,34.1382608695652
2016-01-01,27.4580952380952
2016-02-01,29.6728571428571
2016-03-01,35.45
2016-04-01,39.3238095238095
2016-05-01,44.35
2016-06-01,46.3159090909091
2016-07-01,42.4447619047619
2016-08-01,43.9691304347826
2016-09-01,43.6763636363636
2016-10-01,48.802380952381
2016-11-01,44.0395454545454
2016-12-01,52.1368181818182
2017-01-01,53.5690909090909
2017-02-01,54.295
2017-03-01,51.0213043478261
2017-04-01,52.5545
2017-05-01,50.134347826087
2017-06-01,46.3563636363636
2017-07-01,47.792380952381
2017-08-01,50.2695652173913
2017-09-01,53.9228571428571
2017-10-01,55.7745454545455
2017-11-01,60.5868181818182
2017-12-01,61.3842857142857
2018-01-01,66.0247826086957
2018-02-01,62.631
2018-03-01,63.9172727272727
2018-04-01,68.6671428571429
2018-05-01,74.0778260869565
2018-06-01,73.3114285714286
2018-07-01,72.7695454545455
2018-08-01,72.5947826086957
2018-09-01,76.925
2018-10-01,78.7626086956522
2018-11-01,64.6859090909091
2018-12-01,55.6690476190476
2019-01-01,59.1591304347826
2019-02-01,64.548
2019-03-01,66.952380952381
2019-04-01,70.9395454545455
2019-05-01,68.6673913043478
2019-06-01,60.915
2019-07-01,62.8608695652174
2019-08-01,58.5040909090909
2019-09-01,60.8561904761905
2019-10-01,58.8634782608696
2019-11-01,61.22
2019-12-01,64.4531818181818
2020-01-01,63.1252173913044
2020-02-01,54.0485
2020-03-01,33.5090909090909
2020-04-01,26.1927272727273
2020-05-01,32.6028571428571
2020-06-01,40.0686363636364
2020-07-01,42.5339130434783
2020-08-01,43.9171428571429
2020-09-01,41.3731818181818
2020-10-01,40.8145454545455
2020-11-01,43.4738095238095
2020-12-01,49.6269565217391
2021-01-01,54.6466666666667
2021-02-01,61.2505
2021-03-01,64.2878260869565
2021-04-01,63.1286363636364
2021-05-01,66.35
2021-06-01,71.3036363636364
2021-07-01,72.1368181818182
2021-08-01,68.7313636363636
2021-09-01,72.7581818181818
2021-10-01,81.4371428571428
2021-11-01,78.6577272727273
2021-12-01,72.8478260869565
2022-01-01,83.4509523809524
2022-02-01,91.525
2022-03-01,107.587826086957
2022-04-01,102.755238095238
2022-05-01,107.861363636364
2022-06-01,111.859545454545
2022-07-01,100.318571428571
2022-08-01,95.6930434782609
