2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1216505.0,1154816.0,1144147.0,1139624.0,1146609.0,1647349.0,1569082.0,1287598.0,1264002.0,1294638.0
703973.0,692591.0,691723.0,637930.0,700296.0,1106579.0,1096828.0,873469.0,899933.0,1023488.0
1776179.0,1783751.0,1760757.0,1721686.0,1673281.0,2091661.0,2044385.0,1734328.0,1689087.0,1684246.0
2256258.0,2212602.0,2272633.0,2224211.0,2199872.0,2578105.0,2522205.0,2258237.0,2109788.0,2155778.0
2702635.0,2753299.0,2680943.0,2704370.0,2632392.0,3058418.0,2912742.0,2778312.0,2527349.0,2518079.0
3081337.0,3054079.0,3089169.0,3150594.0,3083239.0,3327686.0,3340862.0,3066335.0,2971653.0,3048459.0
3891442.0,3827251.0,3969335.0,3902232.0,3899872.0,4258306.0,4171542.5,3903229.5,3860207.5,3924040.0
