,연도,지출코드,지출목적_x,소비자물가지수,소득계층,가구형태,지출목적_y,가계지출
3057,2019,12,기타 상품 및 서비스,98.082,100만원 미만,근로자가구,기타상품 및 서비스,51785.0
3058,2019,12,기타 상품 및 서비스,98.082,100~200만원 미만,근로자가구,기타상품 및 서비스,97283.0
3059,2019,12,기타 상품 및 서비스,98.082,200~300만원 미만,근로자가구,기타상품 및 서비스,132495.0
3060,2019,12,기타 상품 및 서비스,98.082,300~400만원 미만,근로자가구,기타상품 및 서비스,195117.0
3061,2019,12,기타 상품 및 서비스,98.082,400~500만원 미만,근로자가구,기타상품 및 서비스,227558.0
3062,2019,12,기타 상품 및 서비스,98.082,500~600만원 미만,근로자가구,기타상품 및 서비스,262924.0
3063,2019,12,기타 상품 및 서비스,98.082,600만원이상 ~ 700미만,근로자가구,기타상품 및 서비스,340603.0
3081,2020,12,기타 상품 및 서비스,100.0,100만원 미만,근로자가구,기타상품 및 서비스,51417.0
3082,2020,12,기타 상품 및 서비스,100.0,100~200만원 미만,근로자가구,기타상품 및 서비스,83558.0
3083,2020,12,기타 상품 및 서비스,100.0,200~300만원 미만,근로자가구,기타상품 및 서비스,118076.0
3084,2020,12,기타 상품 및 서비스,100.0,300~400만원 미만,근로자가구,기타상품 및 서비스,167515.0
3085,2020,12,기타 상품 및 서비스,100.0,400~500만원 미만,근로자가구,기타상품 및 서비스,204993.0
3086,2020,12,기타 상품 및 서비스,100.0,500~600만원 미만,근로자가구,기타상품 및 서비스,259636.0
3087,2020,12,기타 상품 및 서비스,100.0,600만원이상 ~ 700미만,근로자가구,기타상품 및 서비스,334016.0
3105,2021,12,기타 상품 및 서비스,102.0,100만원 미만,근로자가구,기타상품 및 서비스,67318.0
3106,2021,12,기타 상품 및 서비스,102.0,100~200만원 미만,근로자가구,기타상품 및 서비스,83701.0
3107,2021,12,기타 상품 및 서비스,102.0,200~300만원 미만,근로자가구,기타상품 및 서비스,123859.0
3108,2021,12,기타 상품 및 서비스,102.0,300~400만원 미만,근로자가구,기타상품 및 서비스,165429.0
3109,2021,12,기타 상품 및 서비스,102.0,400~500만원 미만,근로자가구,기타상품 및 서비스,222516.0
3110,2021,12,기타 상품 및 서비스,102.0,500~600만원 미만,근로자가구,기타상품 및 서비스,253931.0
3111,2021,12,기타 상품 및 서비스,102.0,600만원이상 ~ 700미만,근로자가구,기타상품 및 서비스,326844.0
