상세품목, ,  ,   ,    ,     ,      ,        
유치원납입금, 전문대학납입금, 국공립대학교납입금, 사립대학교납입금, 국공립대학원납입금, 사립대학원납입금, 초등학생학원비, 중학생학원비
고등학생학원비, 음악학원비, 미술학원비, 운동학원비, 전산학원비, 가정학습지, 이러닝이용료, 학교보충교육비
기타학원비, 취업학원비, 외국어학원비, 운동강습료, , , , 
